[ Train | 091/200 ] loss = 0.16903, acc = 0.94069 || [ Valid | 091/200 ] loss = 0.91133, acc = 0.79019
[ Train | 092/200 ] loss = 0.18257, acc = 0.93705 || [ Valid | 092/200 ] loss = 1.04677, acc = 0.75461
[ Train | 093/200 ] loss = 0.19406, acc = 0.93181 || [ Valid | 093/200 ] loss = 0.98125, acc = 0.77401
[ Train | 094/200 ] loss = 0.17389, acc = 0.93910 || [ Valid | 094/200 ] loss = 0.86273, acc = 0.79758 -> best
[ Train | 095/200 ] loss = 0.18135, acc = 0.93902 || [ Valid | 095/200 ] loss = 1.10179, acc = 0.75355
[ Train | 096/200 ] loss = 0.17768, acc = 0.93883 || [ Valid | 096/200 ] loss = 0.89468, acc = 0.79813 -> best
[ Train | 097/200 ] loss = 0.15861, acc = 0.94378 || [ Valid | 097/200 ] loss = 1.08644, acc = 0.75423
[ Train | 098/200 ] loss = 0.15935, acc = 0.94677 || [ Valid | 098/200 ] loss = 0.89051, acc = 0.78839
[ Train | 099/200 ] loss = 0.15867, acc = 0.94676 || [ Valid | 099/200 ] loss = 0.88171, acc = 0.78616
[ Train | 100/200 ] loss = 0.16703, acc = 0.94265 || [ Valid | 100/200 ] loss = 0.92758, acc = 0.78647
[ Train | 101/200 ] loss = 0.17074, acc = 0.94062 || [ Valid | 101/200 ] loss = 0.89849, acc = 0.79069
[ Train | 102/200 ] loss = 0.16442, acc = 0.94257 || [ Valid | 102/200 ] loss = 1.03847, acc = 0.76992
[ Train | 103/200 ] loss = 0.17644, acc = 0.93890 || [ Valid | 103/200 ] loss = 0.85433, acc = 0.79937 -> best
[ Train | 104/200 ] loss = 0.14553, acc = 0.95153 || [ Valid | 104/200 ] loss = 0.97796, acc = 0.78988
[ Train | 105/200 ] loss = 0.14284, acc = 0.94994 || [ Valid | 105/200 ] loss = 1.00341, acc = 0.77631
[ Train | 106/200 ] loss = 0.16347, acc = 0.94537 || [ Valid | 106/200 ] loss = 0.98833, acc = 0.78095
[ Train | 107/200 ] loss = 0.14709, acc = 0.94855 || [ Valid | 107/200 ] loss = 0.95854, acc = 0.78399
[ Train | 108/200 ] loss = 0.15036, acc = 0.94771 || [ Valid | 108/200 ] loss = 0.98198, acc = 0.78635
[ Train | 109/200 ] loss = 0.16153, acc = 0.94396 || [ Valid | 109/200 ] loss = 1.01397, acc = 0.77773
[ Train | 110/200 ] loss = 0.13618, acc = 0.95257 || [ Valid | 110/200 ] loss = 0.91626, acc = 0.79571
