[ Train | 073/100 ] loss = 0.20141, acc = 0.93357 || [ Valid | 073/100 ] loss = 1.49595, acc = 0.69525
[ Train | 074/100 ] loss = 0.18690, acc = 0.93319 || [ Valid | 074/100 ] loss = 1.36474, acc = 0.72862
[ Train | 075/100 ] loss = 0.19452, acc = 0.93498 || [ Valid | 075/100 ] loss = 1.65165, acc = 0.68916
[ Train | 076/100 ] loss = 0.20078, acc = 0.92931 || [ Valid | 076/100 ] loss = 1.36316, acc = 0.72283
[ Train | 077/100 ] loss = 0.19012, acc = 0.93317 || [ Valid | 077/100 ] loss = 1.44030, acc = 0.72391
[ Train | 078/100 ] loss = 0.17825, acc = 0.93746 || [ Valid | 078/100 ] loss = 1.37510, acc = 0.72766
[ Train | 079/100 ] loss = 0.17815, acc = 0.94083 || [ Valid | 079/100 ] loss = 1.33697, acc = 0.72874
[ Train | 080/100 ] loss = 0.18920, acc = 0.93417 || [ Valid | 080/100 ] loss = 1.31561, acc = 0.72853
[ Train | 081/100 ] loss = 0.17645, acc = 0.93861 || [ Valid | 081/100 ] loss = 1.42688, acc = 0.72294
[ Train | 082/100 ] loss = 0.18264, acc = 0.93792 || [ Valid | 082/100 ] loss = 1.62654, acc = 0.70568
[ Train | 083/100 ] loss = 0.18609, acc = 0.93871 || [ Valid | 083/100 ] loss = 1.35830, acc = 0.72699
